name,values,label
Taxi Pick Up Location,"['729 GRAND STREET, BROOKLYN, NY, 11211', 'FLATBUSH AVENUE EXTENSION AND FLEET STREET, BROOKLYN, NY, 11', '5 AVENUE AND EAST  104 STREET, MANHATTAN, NY, 10029']",address
Latitude,"['40.655218', '40.877057', '40.773193']",latitude
Longitude,"['-73.884804', '-73.865381', '-73.954693']",longitude
Location,"['POINT (-73.884804319959 40.655218076772)', 'POINT (-73.865381424691 40.877057285381)', 'POINT (-73.954692889945 40.773192756098)']",point
Borough,"['QUEENS', 'BRONX', 'BROOKLYN']",borough
Street Name,"['135 ROAD', 'QUEENS BLVD', 'LINCOLN AVE']",address
Bin #,"['4284335', '4050525', '2130735']",bin
City Owned,['Y'],city
Street Frontage,"['0', '142', '80']",address
Special District 1,"['MX-1', 'BR', 'MID']",borough_code
Special District 2,"['MS4', 'MIH', 'IBZ']",borough_code
LATITUDE,"['40.669797', '40.727573', '40.807149']",latitude
LONGITUDE,"['-73.729699', '-73.855368', '-73.929969']",longitude
COUNCIL DISTRICT,"['31', '29', '8']",borough_code
Block,"['023XX S TROY ST', '039XX W WASHINGTON BLVD', '015XX N DAMEN AVE']",address
District,"['10', '11', '14']",borough_code
X Coordinate,"['1162795', '1174694', '1176857']",x_coord
Y Coordinate,"['1909900', '1901831', '1896680']",y_coord
Latitude,"['41.908418', '41.886018', '41.871835']",latitude
Longitude,"['-87.677407', '-87.633938', '-87.626151']",longitude
CONTACT_1_CITY,"['ADDISON', 'CHICAGO', 'MINOOKA']",city
CONTACT_1_STATE,"['IL', 'OH', 'ILLINOIS']",state_code
CONTACT_1_ZIPCODE,"['60101-', '60618', '60447']",zip5
CONTACT_2_CITY,"['ADDISON', 'MINOOKA', 'NEW LENOX']",city
CONTACT_2_STATE,"['IL', 'IN', 'ILL']",state_code
CONTACT_2_ZIPCODE,"['60101-', '60447', '60451']",zip5
CONTACT_3_CITY,"['CHICAGO', 'LYONS', 'GLENVIEW']",city
CONTACT_3_STATE,"['IL', 'NY']",state_code
CONTACT_3_ZIPCODE,"['60612', '60534-', '60634']",zip5
CONTACT_4_CITY,"['CHICAGO', 'DES PLAINES']",city
CONTACT_4_STATE,['IL'],state_code
XCOORDINATE,"['1177375.297251', '1161738.838138', '1164006.506494']",x_coord
YCOORDINATE,"['1906125.087935', '1908001.135925', '1892048.569508']",y_coord
LATITUDE,"['41.897741', '41.903229', '41.859407']",latitude
LONGITUDE,"['-87.623961', '-87.68134', '-87.673461']",longitude
LOCATION,"['POINT (-87.623961315982 41.897740856253)', 'POINT (-87.681339760936 41.903229293025)', 'POINT (-87.673460709002 41.859406533938)']",point
CONTACT_1_CITY,"['ADDISON', 'CHICAGO', 'MINOOKA']",city
CONTACT_1_STATE,"['IL', 'OH', 'ILLINOIS']",state_code
CONTACT_1_ZIPCODE,"['60101-', '60618', '60447']",zip5
CONTACT_2_CITY,"['ADDISON', 'MINOOKA', 'NEW LENOX']",city
CONTACT_2_STATE,"['IL', 'IN', 'ILL']",state_code
CONTACT_2_ZIPCODE,"['60101-', '60447', '60451']",zip5
CONTACT_3_CITY,"['CHICAGO', 'LYONS', 'GLENVIEW']",city
CONTACT_3_STATE,"['IL', 'NY']",state_code
CONTACT_3_ZIPCODE,"['60612', '60534-', '60634']",zip5
